Eating Action11,0.007305,9.016320,0.674139,0.638717,0.639456,0.031488,0.003312,8.827027,0.650954,0.632369,0.632707,0.021205,0.324074,0.096015,0.131831,0.058761,0.065988,0.030766,0.012905,13.959841,0.864286,0.793817,0.795675,0.055686,0.007747,9.839902,0.760191,0.667222,0.668022,0.033491,0.007206,12.442816,0.822309,0.750327,0.751199,0.037080,0.004002,13.028142,0.819743,0.768190,0.768665,0.027690,0.080039,3.076439,0.551124,0.365978,0.373525,0.076554,0.032231,3.819591,0.513143,0.413334,0.416202,0.049984,0.044413,3.075794,0.469602,0.369847,0.373486,0.053291,0.023169,5.751748,0.613477,0.508550,0.510735,0.048355,0.017202,7.939903,0.712535,0.598299,0.600072,0.047233,0.008146,5.655872,0.581932,0.505810,0.506460,0.026299,0.011259,2.502696,0.368614,0.336269,0.336899,0.021097,0.003652,7.861061,0.631828,0.596768,0.597085,0.019945,0.001231,6.730947,0.574999,0.552412,0.552502,0.010226,0.003606,8.322140,0.650526,0.614027,0.614346,0.020301,0.011125,3.857677,0.475037,0.417525,0.418272,0.025608,
Eating Action12,0.006949,2.548942,0.422707,0.397813,0.398247,0.019252,0.001186,5.181081,0.578210,0.567695,0.567784,0.010394,0.095066,0.335355,0.221481,0.141487,0.144453,0.030140,0.012442,5.299712,0.621373,0.573123,0.574247,0.037177,0.018003,6.806377,0.754290,0.648903,0.650775,0.051060,0.005757,6.873390,0.694242,0.653450,0.653971,0.027018,0.005691,7.119032,0.711066,0.665023,0.665554,0.027514,0.050556,2.093404,0.451025,0.357319,0.360910,0.052571,0.099579,3.231291,0.657270,0.438414,0.448395,0.097385,0.025557,2.399539,0.464439,0.384678,0.386400,0.037711,0.014182,4.522331,0.637171,0.529305,0.530462,0.036235,0.015443,5.822450,0.689323,0.600412,0.601902,0.043805,0.006775,3.878859,0.523264,0.490809,0.491275,0.022148,0.132826,1.521132,0.416900,0.298829,0.307649,0.075705,0.028326,4.979875,0.600368,0.553925,0.556650,0.056939,0.007577,4.682632,0.574643,0.539191,0.539781,0.026125,0.002771,6.181930,0.649375,0.619987,0.620204,0.017002,0.006741,2.905396,0.458582,0.424775,0.425183,0.019276,
Eating Action13,0.007411,4.424090,0.537077,0.508517,0.509140,0.026017,0.001301,6.416156,0.634473,0.613040,0.613145,0.011697,0.077975,0.396446,0.215520,0.149611,0.152411,0.030039,0.011530,6.481271,0.655100,0.615067,0.616248,0.039385,0.011889,7.290960,0.722231,0.652394,0.653609,0.041139,0.011682,7.532286,0.761209,0.663098,0.664338,0.041899,0.004286,7.994675,0.715842,0.684007,0.684425,0.024710,0.080324,2.357641,0.512832,0.364974,0.371676,0.072567,0.040459,3.105086,0.504577,0.423186,0.426543,0.055161,0.050621,2.564305,0.497517,0.383454,0.387624,0.058563,0.013007,4.480051,0.550188,0.511268,0.512350,0.034376,0.048186,5.922612,0.729698,0.583885,0.589091,0.080708,0.015007,4.345697,0.580112,0.503389,0.504609,0.036226,0.148044,2.300698,0.690127,0.354667,0.367160,0.098076,0.027161,6.347861,0.740998,0.607074,0.609873,0.060280,0.001970,5.192394,0.572377,0.551446,0.551581,0.012610,0.001446,6.533517,0.636276,0.618616,0.618727,0.012130,0.005284,2.910191,0.455689,0.412635,0.412939,0.016366,
Eating Action14,0.031002,9.431679,0.755103,0.681501,0.685768,0.078476,0.006610,9.891649,0.724818,0.701557,0.702291,0.032987,0.139145,0.365637,0.201384,0.129217,0.135023,0.040243,0.040899,12.329452,0.890388,0.776987,0.784069,0.108026,0.007078,8.969856,0.724240,0.668029,0.668768,0.032285,0.013224,10.211957,0.802394,0.711818,0.713571,0.051359,0.016469,11.302864,0.810262,0.748543,0.750718,0.058669,0.115963,3.994313,0.619114,0.432556,0.446276,0.112816,0.047819,3.759292,0.590800,0.428915,0.432948,0.060574,0.079955,2.764174,0.507355,0.364367,0.371249,0.073099,0.028872,5.364618,0.631654,0.514494,0.517192,0.054206,0.023238,7.402942,0.731441,0.605118,0.607554,0.055843,0.009606,4.957169,0.569231,0.496412,0.497164,0.028085,0.072089,2.321954,0.541413,0.335161,0.340259,0.060287,0.025028,7.176031,0.777428,0.595463,0.598170,0.058405,0.003257,6.135181,0.611639,0.552845,0.553091,0.016921,0.004248,7.524525,0.648514,0.612140,0.612523,0.022230,0.015008,3.601683,0.494105,0.422733,0.423775,0.030518,
Eating Action15,0.022465,7.670897,0.696967,0.631562,0.634417,0.061865,0.002987,8.038101,0.667556,0.649152,0.649425,0.019374,0.227336,0.188087,0.182322,0.091750,0.099342,0.039191,0.029233,11.143385,0.864405,0.760046,0.764646,0.086172,0.008787,8.629459,0.740095,0.671977,0.672889,0.036037,0.021635,9.923232,0.770030,0.718734,0.721570,0.065771,0.019274,10.775834,0.831142,0.749463,0.751930,0.062629,0.100361,3.293971,0.569984,0.404940,0.415730,0.096832,0.116441,3.928523,0.773758,0.442075,0.454011,0.106421,0.065970,2.769819,0.473500,0.375718,0.381222,0.066415,0.029731,5.685618,0.661840,0.543235,0.546186,0.058345,0.034248,7.633962,0.768487,0.628888,0.632888,0.073107,0.009046,4.781774,0.563499,0.500204,0.500895,0.027052,0.045703,2.286175,0.460419,0.343358,0.346343,0.046688,0.019964,6.727332,0.702031,0.592146,0.594119,0.049785,0.003877,5.683018,0.572413,0.545759,0.546061,0.018711,0.005643,6.876983,0.634078,0.600195,0.600691,0.025108,0.016363,3.183646,0.456906,0.407580,0.408709,0.031242,
Eating Action16,0.015402,5.128619,0.500723,0.442244,0.443778,0.037624,0.012393,8.320203,0.597558,0.563856,0.565240,0.040336,0.246935,1.376545,0.389376,0.208597,0.229912,0.098672,0.092230,7.212950,0.642564,0.512411,0.526286,0.122527,0.019466,10.666583,0.846527,0.637683,0.639998,0.055499,0.014467,11.721309,0.826735,0.669160,0.670894,0.049199,0.044914,10.023700,0.756335,0.613658,0.620411,0.093173,0.058406,3.973935,0.533555,0.384385,0.390639,0.071060,0.080319,5.535122,0.708894,0.451562,0.461030,0.094872,0.047522,4.018704,0.481564,0.388648,0.392834,0.058368,0.013936,6.802939,0.597066,0.509878,0.511109,0.036192,0.018834,8.803678,0.648679,0.579473,0.581430,0.048648,0.009231,6.491984,0.572091,0.498497,0.499292,0.028749,0.073305,3.194325,0.504969,0.344381,0.350231,0.065063,0.012229,9.445233,0.687151,0.600944,0.602243,0.040350,0.010266,7.894801,0.609078,0.549652,0.550600,0.032966,0.002076,9.765707,0.645246,0.612191,0.612375,0.015301,0.007771,4.531198,0.461534,0.416585,0.417131,0.021765,
Eating Action17,0.011353,7.941535,0.614796,0.562018,0.563125,0.036053,0.007372,10.011031,0.671718,0.631356,0.632255,0.034415,0.059152,0.643655,0.194528,0.158040,0.160317,0.027502,0.005547,10.052178,0.667104,0.632984,0.633553,0.027408,0.012962,10.991158,0.721534,0.660991,0.662482,0.045390,0.021170,11.252890,0.774323,0.667519,0.670324,0.062572,0.003921,11.774854,0.734333,0.685288,0.685694,0.024118,0.107172,3.442394,0.586463,0.359861,0.370752,0.091118,0.050866,4.244347,0.604466,0.407235,0.411678,0.061622,0.055082,3.514060,0.474046,0.370168,0.374591,0.058628,0.018964,7.239494,0.657428,0.535746,0.537659,0.046291,0.026424,8.673523,0.720594,0.585567,0.588505,0.060003,0.007941,6.253776,0.575249,0.499073,0.499717,0.025908,0.053700,2.894485,0.484550,0.336145,0.339968,0.051938,0.020921,8.981853,0.747346,0.596583,0.598874,0.053460,0.002409,7.729914,0.596184,0.555380,0.555572,0.014884,0.004594,9.505781,0.663148,0.615659,0.616093,0.023623,0.042186,4.648794,0.591743,0.427128,0.430847,0.057700,
Eating Action18,0.072230,7.553277,0.791829,0.602292,0.613692,0.120962,0.060141,8.053102,0.756796,0.624281,0.633672,0.111663,0.123096,1.364787,0.344411,0.251901,0.260865,0.069653,0.161145,6.933425,0.830952,0.558877,0.587972,0.187673,0.010660,8.160425,0.729104,0.636790,0.637880,0.038303,0.018032,9.593432,0.749336,0.689549,0.691623,0.054991,0.079023,7.775953,0.775015,0.609563,0.622672,0.130578,0.098240,5.166283,0.720068,0.492219,0.507542,0.127160,0.073111,4.394941,0.656111,0.460513,0.468122,0.086361,0.068333,2.806573,0.466005,0.368285,0.374085,0.067420,0.023535,5.481571,0.663328,0.520560,0.522800,0.049658,0.046219,7.127428,0.781070,0.590381,0.596141,0.084939,0.006509,5.024027,0.578205,0.500023,0.500505,0.022570,0.098223,2.451017,0.563987,0.342006,0.349587,0.074396,0.028327,7.157852,0.679479,0.594297,0.597412,0.062602,0.013239,6.141159,0.631224,0.552162,0.553360,0.037392,0.003042,7.453992,0.637147,0.609386,0.609645,0.018252,0.011676,3.473645,0.470000,0.415402,0.416174,0.026043,
Eating Action19,0.027486,10.283656,0.776938,0.663865,0.667976,0.075732,0.038088,8.815037,0.705835,0.612694,0.618442,0.086103,0.245264,1.226669,0.332292,0.209660,0.230702,0.098525,0.145810,9.582438,0.894162,0.614833,0.644800,0.198859,0.006775,9.711473,0.730001,0.648397,0.649127,0.031487,0.018336,12.201618,0.805265,0.725108,0.727605,0.061649,0.082273,9.701494,0.832275,0.634197,0.648793,0.140065,0.076952,4.461032,0.631133,0.430352,0.439951,0.093554,0.051482,5.340742,0.659631,0.475583,0.481380,0.076230,0.047643,3.245551,0.451742,0.371451,0.375259,0.054578,0.057283,6.075657,0.603341,0.507390,0.513433,0.080390,0.047353,8.052956,0.687637,0.585481,0.591105,0.083258,0.011688,5.655331,0.536838,0.494400,0.495354,0.031461,0.049852,2.400055,0.442321,0.319344,0.322699,0.047507,0.014921,8.041815,0.664760,0.589180,0.590696,0.043288,0.017662,6.953273,0.629473,0.547587,0.549265,0.043906,0.014614,9.140163,0.811577,0.628207,0.629744,0.045007,0.016770,3.997856,0.491892,0.415257,0.416486,0.032724,
Eating Action20,0.010001,6.387579,0.569931,0.525440,0.526448,0.033316,0.006466,6.796968,0.573635,0.542424,0.543056,0.026799,0.002112,2.476070,0.340264,0.327665,0.327769,0.008459,0.002573,3.536948,0.416868,0.391591,0.391743,0.011168,0.005035,8.908289,0.708374,0.621228,0.621705,0.024917,0.003894,10.481963,0.703818,0.673947,0.674386,0.024891,0.003094,6.060492,0.547885,0.512562,0.512792,0.015699,0.003831,2.860748,0.377356,0.352101,0.352311,0.012475,0.004696,3.780354,0.430172,0.404704,0.404998,0.015802,0.008315,4.403179,0.476473,0.436406,0.437089,0.024998,0.007837,6.161755,0.558896,0.516404,0.517058,0.026606,0.022115,8.321237,0.780979,0.598523,0.600871,0.054317,0.017635,5.893602,0.662729,0.504143,0.505682,0.040355,0.085865,3.100396,0.579961,0.359379,0.366771,0.074989,0.043525,8.220034,0.781177,0.591711,0.597205,0.082723,0.030546,6.616253,0.628226,0.532648,0.535788,0.059281,0.003972,8.790913,0.653005,0.617229,0.617595,0.021762,0.012037,3.838121,0.444115,0.407261,0.408081,0.026463,
